name;region;endpoint;protocol
US East (Ohio);us-east-2;rds.us-east-2.amazonaws.com;HTTPS
US East (Ohio);us-east-2;rds-fips.us-east-2.amazonaws.com;HTTPS
US East (N. Virginia);us-east-1;rds.us-east-1.amazonaws.com;HTTPS
US East (N. Virginia);us-east-1;rds-fips.us-east-1.amazonaws.com;HTTPS
US West (N. California);us-west-1;rds.us-west-1.amazonaws.com;HTTPS
US West (N. California);us-west-1;rds-fips.us-west-1.amazonaws.com;HTTPS
US West (Oregon);us-west-2;rds.us-west-2.amazonaws.com;HTTPS
US West (Oregon);us-west-2;rds-fips.us-west-2.amazonaws.com;HTTPS
Africa (Cape Town);af-south-1;rds.af-south-1.amazonaws.com;HTTPS
Asia Pacific (Hong Kong);ap-east-1;rds.ap-east-1.amazonaws.com;HTTPS
Asia Pacific (Mumbai);ap-south-1;rds.ap-south-1.amazonaws.com;HTTPS
Asia Pacific (Osaka);ap-northeast-3;rds.ap-northeast-3.amazonaws.com;HTTPS
Asia Pacific (Seoul);ap-northeast-2;rds.ap-northeast-2.amazonaws.com;HTTPS
Ásia-Pacífico (Singapura);ap-southeast-1;rds.ap-southeast-1.amazonaws.com;HTTPS
Asia Pacific (Sydney);ap-southeast-2;rds.ap-southeast-2.amazonaws.com;HTTPS
Asia Pacific (Tokyo);ap-northeast-1;rds.ap-northeast-1.amazonaws.com;HTTPS
Canada (Central);ca-central-1;rds.ca-central-1.amazonaws.com;HTTPS
Canada (Central);ca-central-1;rds-fips.ca-central-1.amazonaws.com;HTTPS
Europe (Frankfurt);eu-central-1;rds.eu-central-1.amazonaws.com;HTTPS
Europe (Ireland);eu-west-1;rds.eu-west-1.amazonaws.com;HTTPS
Europe (London);eu-west-2;rds.eu-west-2.amazonaws.com;HTTPS
Europe (Milan);eu-south-1;rds.eu-south-1.amazonaws.com;HTTPS
Europe (Paris);eu-west-3;rds.eu-west-3.amazonaws.com;HTTPS
Europe (Stockholm);eu-north-1;rds.eu-north-1.amazonaws.com;HTTPS
Oriente Médio (Bahrein);me-south-1;rds.me-south-1.amazonaws.com;HTTPS
South America (São Paulo);sa-east-1;rds.sa-east-1.amazonaws.com;HTTPS
AWS GovCloud (Leste dos EUA);us-gov-east-1;rds.us-gov-east-1.amazonaws.com;HTTPS
AWS GovCloud (Oeste dos EUA);us-gov-west-1;rds.us-gov-west-1.amazonaws.com;HTTPS